#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
0.000000	2.58
0.080301	2.58
0.175743	2.58
0.287678	2.58
0.368322	2.58
0.432829	2.58
0.512668	2.58
0.608338	2.59
0.703872	2.59
0.799512	2.59
0.895160	2.59
0.991429	2.59
1.087401	2.59
1.183369	2.59
1.279256	2.58
1.375309	2.58
1.471211	2.58
1.535126	2.58
1.615208	2.58
1.695254	2.58
1.790859	2.58
1.887017	2.58
1.982929	2.58
2.078833	2.58
2.174856	2.58
2.287588	2.58
2.383631	2.58
2.463908	2.58
2.574836	2.58
2.654431	2.58
2.718398	2.58
2.798857	2.58
2.910366	2.58
2.990201	2.58
3.086253	2.58
3.182188	2.58
3.278009	2.58
3.373854	2.59
3.469975	2.59
3.565898	2.59
3.661883	2.59
3.726043	2.59
3.805805	2.59
3.885698	2.59
3.981601	2.59
4.077786	2.59
4.173839	2.59
4.269637	2.59
4.365546	2.59
4.461397	2.59
4.557428	2.59
4.653513	2.59
4.749327	2.59
4.845247	2.59
4.925267	2.59
4.989190	2.59
5.085076	2.59
5.181996	2.59
5.277688	2.58
5.373750	2.58
5.453150	2.58
5.549106	2.58
5.645164	2.58
5.741194	2.58
5.836794	2.58
5.932767	2.58
6.029067	2.58
6.093028	2.58
6.172945	2.58
6.252888	2.58
6.348516	2.58
6.444452	2.58
6.541197	2.58
6.636623	2.58
6.732560	2.58
6.828502	2.58
6.924748	2.58
7.020205	2.58
7.116215	2.58
7.211704	2.58
7.292306	2.58
7.355820	2.58
7.435783	2.58
7.531847	2.58
7.643620	2.58
7.739432	2.58
7.819626	2.58
7.915542	2.58
8.011460	2.58
8.107610	2.58
8.204874	2.58
8.299349	2.58
8.395445	2.58
8.475322	2.58
8.540238	2.58
8.619035	2.58
8.731010	2.58
8.826895	2.58
8.923119	2.58
9.002759	2.58
9.098818	2.58
9.194797	2.58
9.290807	2.58
9.386611	2.58
9.482744	2.58
9.562577	2.58
9.642741	2.58
9.722600	3.12
9.802514	7.49
9.898459	10.53
9.978447	10.19
10.074199	10.12
10.154355	10.48
10.250129	10.48
10.330558	10.64
10.426014	10.74
10.506166	10.81
10.602303	11.3
10.697934	11.43
10.793828	11.56
10.874090	12.29
10.969834	16.5
11.049798	15.76
11.129836	13.68
11.225609	13.73
11.305503	13.97
11.401669	14.43
11.481530	14.73
11.577596	15.09
11.657387	15.56
11.753688	15.73
11.849313	15.74
11.929470	16.4
12.025244	16.41
12.105619	16.43
12.201239	16.62
12.281565	16.72
12.377232	16.61
12.457460	16.73
12.553086	16.68
12.649043	16.63
12.728925	16.77
12.824911	16.68
12.904800	16.62
13.000893	16.4
13.081290	16.3
13.176709	16.37
13.256677	16.19
13.352790	16.18
13.432955	16.29
13.529476	16.39
13.625822	16.41
13.705064	16.33
13.800748	16.36
13.897046	16.35
13.976359	16.43
