#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
0.000000	2.75
0.065242	2.75
0.144831	2.75
0.240931	2.75
0.336810	2.75
0.448622	2.75
0.529651	2.75
0.624114	2.75
0.720753	2.75
0.816614	2.75
0.912682	2.75
1.008651	2.75
1.072881	2.75
1.152931	2.75
1.249027	2.75
1.328024	2.75
1.440119	2.75
1.535774	2.75
1.631850	2.75
1.727798	2.75
1.807871	2.75
1.903854	2.75
2.015611	2.75
2.111614	2.75
2.175749	2.75
2.256386	2.75
2.337116	2.75
2.432281	2.75
2.526979	2.75
2.622957	2.75
2.718917	2.75
2.815044	2.75
2.910738	2.75
2.990679	2.75
3.087726	2.75
3.183653	2.75
3.295276	2.75
3.359665	2.75
3.439566	2.75
3.519716	2.75
3.614925	2.75
3.710387	2.74
3.806643	2.75
3.903042	2.75
3.998739	2.75
4.094382	2.75
4.191918	2.75
4.287222	2.75
4.383250	2.75
4.479483	2.75
4.558164	2.75
4.637987	2.75
4.718715	2.75
4.814402	2.75
4.893811	2.75
4.990376	2.75
5.087180	2.75
5.182876	2.75
5.278140	2.75
5.374707	2.75
5.469920	2.75
5.565729	2.75
5.661667	2.75
5.741607	2.75
5.821705	2.75
5.901473	2.75
5.997682	2.75
6.077479	2.75
6.173501	2.75
6.285257	2.75
6.382337	2.75
6.477445	2.75
6.557426	2.75
6.653235	2.75
6.765396	2.75
6.861304	2.75
6.925663	2.75
7.005127	2.75
7.085178	2.75
7.181766	2.75
7.277677	2.75
7.372887	2.75
7.468885	2.75
7.564831	2.75
7.660832	2.75
7.756841	2.75
7.836824	2.75
7.949033	2.75
8.014040	2.75
8.093968	2.75
8.173329	2.75
8.269572	2.75
8.364514	2.75
8.460540	2.75
8.540497	2.75
8.636411	3.27
8.732273	12.71
8.812258	29.59
8.908145	42.47
9.004171	58.97
9.084071	52.96
9.179946	48.39
9.259968	48.08
9.355826	48.24
9.451716	48.22
9.547653	48.08
9.627747	47.63
9.723673	47.66
9.803604	47.5
9.900053	47.77
9.980230	48.26
10.075675	48.17
10.171884	48.17
10.266909	47.57
10.347577	47.68
10.443828	47.5
10.538699	47.39
10.620992	47.61
10.698875	47.33
10.796074	47.03
10.890839	47.57
10.987034	46.77
11.067586	46.71
11.162501	47.13
11.242425	47.07
11.329124	46.74
11.419520	46.64
11.500064	46.85
11.598897	46.77
11.676670	46.82
11.724491	46.66
11.818097	46.64
11.897790	46.43
11.993864	46.95
12.089731	46.8
12.185671	46.57
12.265700	46.72
12.361558	46.7
12.441928	46.66
12.521549	46.88
12.617397	46.79
12.697527	46.73
12.793230	46.92
12.889276	46.89
12.969156	46.84
13.065215	46.77
13.145188	46.88
13.225043	46.88
13.320918	46.82
13.416644	46.77
13.496873	46.86
13.592982	46.79
13.688811	46.85
13.768530	46.57
13.864499	46.72
13.944540	46.52
14.024511	46.56
14.120468	46.48
14.200425	46.53
14.296370	46.72
14.392104	46.68
14.472201	46.33
14.568218	46.31
14.648038	46.5
14.744067	46.31
14.824113	46.25
14.919997	46.16
15.000310	46.14
15.095667	45.89
15.191464	45.86
15.271534	45.71
15.367566	45.83
15.463274	45.64
15.543545	45.85
15.623312	45.69
15.719147	45.37
15.799494	45.66
15.895267	45.7
15.975009	45.52
16.070990	45.86
16.151216	46.05
16.247061	46.18
16.342691	45.84
16.422765	45.97
16.518832	45.85
16.598622	45.49
16.694713	45.5
16.774594	45.5
16.870417	45.55
16.950377	45.66
17.046392	45.33
17.126119	45.14
17.222099	45.17
17.302152	45.21
17.397998	45.25
17.494023	45.21
17.590023	44.95
17.669782	44.86
17.749760	45
17.845655	44.56
17.925702	44.83
18.021541	44.98
18.101629	45.14
18.197412	44.88
18.293441	45.13
18.373385	45.16
18.453470	45.19
18.549312	45.11
18.645091	45.16
18.725026	44.88
18.804970	45
18.869215	45.06
18.949003	45.16
19.028891	45.04
19.124966	45.02
19.220737	45.1
19.300673	44.99
19.396701	45.2
19.492541	44.98
19.572606	44.99
19.652552	45.06
19.748777	45.16
19.828413	44.88
19.924317	44.87
20.004257	44.79
20.100249	44.28
20.196156	44.57
20.276001	44.53
20.371921	44.43
20.451796	44.6
20.547863	44.4
20.643814	44.03
20.723884	43.98
20.820132	44.26
20.899572	44.35
20.995658	44.35
21.091545	44.5
21.171455	44.5
21.267271	44.42
21.347232	44.62
21.443403	44.58
21.539192	44.39
21.619203	44.22
21.714970	44.21
21.810929	44.35
21.890767	43.9
21.986894	44.14
22.066786	43.97
22.162839	44.08
22.258554	44.06
22.354521	44.02
22.451023	44.22
22.546463	43.96
22.626494	43.96
22.722464	43.92
22.802437	43.63
22.898328	43.82
22.994188	43.41
23.090178	43.77
23.169965	43.72
23.266063	43.7
23.345853	43.44
23.441811	43.61
23.537663	43.59
23.633682	41.77
23.729417	24.34
23.809589	8.85
23.905441	4.44
23.985554	4.11
24.065351	4
24.161395	3.93
24.257400	3.95
24.337247	3.98
24.433351	4.01
24.529097	4.05
24.625039	4.08
24.705109	4.14
24.801052	4.17
24.896949	4.21
24.976882	4.27
25.072793	4.29
25.168837	4.47
25.264519	6.34
25.344549	5.31
25.440200	5.27
25.520207	5.26
25.616321	5.35
25.696088	5.38
25.792282	5.34
25.872251	5.37
25.967974	5.44
26.048081	5.43
26.143991	5.47
26.224041	5.45
26.319929	5.47
26.415787	5.5
26.511699	5.5
26.607582	5.52
26.687685	5.51
26.783628	5.54
26.879348	5.54
26.975552	5.56
27.071160	5.57
27.167184	5.57
27.247158	5.59
27.343228	5.6
27.439061	5.6
27.535038	5.61
27.630971	5.63
27.726897	5.63
27.822829	5.63
27.903182	5.63
27.998722	5.64
28.094812	5.64
28.190655	5.64
28.286727	5.66
28.382681	5.67
28.478651	5.67
28.574357	5.67
28.670382	5.67
28.766129	5.67
28.846172	5.67
28.942227	5.67
29.022117	5.68
29.102146	5.68
29.181887	5.68
29.278003	5.68
29.373951	5.68
29.469906	5.68
29.565761	5.68
29.661788	5.68
29.757742	5.69
29.854163	5.68
29.949197	5.68
30.029412	5.68
30.125388	5.68
30.221191	5.68
30.333077	5.66
30.413126	5.65
30.509037	5.63
30.604959	5.61
30.700901	5.59
30.780928	5.58
30.876943	5.57
30.972882	5.55
31.068764	5.54
31.164927	5.54
31.260397	5.52
31.356494	5.51
31.452145	5.51
31.548348	5.49
31.644229	5.48
31.740294	5.47
31.835886	5.45
31.931978	5.45
32.011930	5.45
32.107840	5.45
32.203702	5.45
32.299433	5.45
32.395623	5.45
32.491903	5.44
32.587508	5.44
32.685573	5.44
32.779109	5.44
32.876311	5.44
32.971331	5.44
33.067200	5.44
33.148023	5.44
33.259122	5.47
33.355404	5.47
33.450770	5.46
33.546782	5.46
33.626925	5.46
33.722451	5.47
33.818691	5.46
33.914758	5.46
34.010879	5.46
34.106884	5.46
34.202204	5.46
34.299296	5.46
34.394511	5.46
34.474064	5.46
34.553979	5.46
34.633804	5.46
34.730000	5.46
34.809798	5.46
34.905724	5.46
35.001479	5.46
35.098680	5.46
35.193798	5.65
35.289485	5.7
35.369438	5.61
35.465225	5.56
35.561496	5.51
35.657284	5.46
35.753134	5.38
35.833104	5.34
35.913252	5.31
36.009101	5.29
36.104975	5.29
36.200782	5.28
36.296896	5.26
36.393579	5.26
36.488918	5.25
36.584643	5.25
36.681581	5.23
36.776637	5.23
36.872284	5.22
36.952270	5.22
37.048245	5.22
37.144364	5.22
37.256153	5.22
37.337409	5.22
37.432495	5.22
37.527761	5.21
37.623815	5.19
37.720275	
