#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
0.000001	3.79
0.096432	3.79
0.175844	3.79
0.272473	3.79
0.367400	3.79
0.463190	3.79
0.559635	3.79
0.655884	3.79
0.736101	3.79
0.816456	3.79
0.894470	3.79
0.975446	3.79
1.071476	3.79
1.167265	3.79
1.263984	3.79
1.358435	3.79
1.454641	3.79
1.550373	3.79
1.647199	3.79
1.743196	3.79
1.839252	3.79
1.903105	3.79
1.983232	3.79
2.063154	3.79
2.159723	3.79
2.255324	3.79
2.351214	3.79
2.448259	3.79
2.542369	3.79
2.638601	3.79
2.734428	3.79
2.830573	3.79
2.925997	3.79
2.990156	3.79
3.071056	3.79
3.149467	3.79
3.245454	3.79
3.341610	3.79
3.437688	3.79
3.533495	3.79
3.629347	3.79
3.725467	3.79
3.821379	3.79
3.901397	3.79
3.997250	3.79
4.093225	3.79
4.173410	3.79
4.252972	3.79
4.333151	3.79
4.428978	3.79
4.525992	3.79
4.605032	3.79
4.701014	3.79
4.796769	3.79
4.892730	3.79
4.988723	3.79
5.084761	3.79
5.181926	3.79
5.277135	3.79
5.341368	3.79
5.421756	3.79
5.502224	3.79
5.597801	3.79
5.693676	3.79
5.789895	3.79
5.884921	4.64
5.980329	2.76
6.060317	0.54
6.156266	0.54
6.252566	0.54
6.332901	0.68
6.428020	1.88
6.507712	3.16
6.604872	4.73
6.684295	5.91
6.779810	7.52
6.859883	8.25
6.956305	8.96
7.035857	13.93
7.115830	15.85
7.211860	14.64
7.291885	13.89
7.387293	13.78
7.467265	13.7
7.564339	14.41
7.643698	14.31
7.739435	14.63
7.836119	14.72
7.930779	14.8
8.010644	14.82
8.107736	14.96
8.187561	14.82
8.266692	15.41
8.362760	16.74
8.458362	17.49
8.538600	18.38
8.619234	18.38
8.714837	18.18
8.811066	18.16
8.906385	18.26
8.986139	18.39
9.083471	18.13
9.163016	18.19
9.258954	18.44
9.354381	18.39
9.434465	18.94
9.529860	18.84
9.610231	19.04
9.706138	19.3
9.785694	19.6
9.882489	20.26
9.978209	20.14
10.057612	20.47
10.153177	20.58
10.233106	20.75
10.329037	20.74
10.410099	20.74
10.506143	20.68
10.585485	20.78
10.681187	20.71
10.776899	20.54
10.857026	20.58
10.953643	20.57
11.032678	20.62
11.129049	20.68
11.208653	20.62
11.288482	20.53
11.384441	20.46
11.481467	20.3
11.577585	20.26
11.656679	20.27
11.752556	20.52
11.832014	20.34
11.896141	20.44
11.991772	20.31
12.073688	20.2
12.169934	20.1
12.248300	19.99
12.343859	19.79
12.423769	19.63
12.519648	19.53
12.615484	19.39
12.712022	19.39
12.792104	19.41
12.887976	19.34
12.983422	19.2
13.063447	19.19
13.159872	19.11
13.255485	19.03
13.351103	18.98
13.431142	18.85
13.527191	18.72
13.623008	18.56
13.719660	18.44
13.816140	18.43
13.894909	18.53
13.990584	18.47
14.086799	18.45
14.167783	18.44
14.263252	18.15
14.343125	18.15
14.438878	18.19
14.534846	18.1
14.630038	17.86
14.710835	17.74
14.806536	17.86
14.902996	18.02
14.982195	18.1
15.077972	18.07
15.157798	17.7
15.254174	17.63
15.334226	17.64
15.429839	17.57
15.509835	17.42
15.606791	17.32
15.701727	17.23
15.798881	17.24
15.893995	17.24
15.957532	17.21
16.037243	17.21
16.117281	17.16
16.197630	17.11
16.294526	17.03
16.373087	16.94
16.469030	16.84
16.564983	16.92
16.644898	16.96
16.740794	16.89
