#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
0.000001	4.72
0.066577	4.72
0.161060	4.72
0.256548	4.72
0.352398	4.72
0.448054	4.72
0.543911	4.72
0.640280	4.72
0.721884	4.72
0.815806	4.72
0.926908	4.72
1.023051	4.72
1.088151	4.72
1.168013	4.72
1.263724	4.72
1.343997	4.72
1.440338	4.73
1.535729	4.73
1.631912	4.73
1.727783	4.73
1.824074	4.73
1.919341	4.73
2.015375	4.73
2.111487	4.73
2.207769	4.73
2.270707	4.73
2.350711	4.73
2.430574	4.73
2.527457	4.73
2.623325	4.73
2.718965	4.73
2.815535	4.73
2.910989	4.73
3.007049	4.73
3.102927	4.73
3.198756	4.73
3.294687	4.73
3.374645	4.73
3.438722	4.73
3.534091	4.73
3.630161	4.73
3.710412	4.73
3.806338	4.73
3.902628	4.73
3.997166	4.73
4.093080	4.73
4.189078	4.73
4.284939	4.73
4.380854	4.73
4.444794	4.73
4.525853	4.73
4.620693	4.73
4.716840	4.73
4.812582	4.73
4.908640	4.73
5.004866	4.73
5.100642	4.73
5.196380	4.73
5.293325	4.73
5.389021	4.73
5.484561	4.73
5.548598	4.73
5.628999	4.73
5.710184	4.73
5.805201	4.73
5.900641	4.73
5.995912	4.73
6.092871	4.73
6.188857	4.73
6.284256	4.73
6.379929	4.73
6.475964	4.73
6.571781	4.73
6.651597	4.73
6.731745	4.73
6.811673	28.17
6.891448	53.96
6.987176	51.73
7.067295	48.6
7.163101	48.8
7.243145	49.45
7.339002	49.07
7.434927	49.08
7.515239	48.95
7.596460	48.31
7.692988	48.21
7.786891	48.46
7.867450	48.65
7.962955	48.3
8.058630	47.29
8.138859	47.68
8.237017	47.87
8.330667	48
8.413058	47.84
8.509594	48.12
8.613101	48.07
8.702885	48.18
8.783160	48.33
8.879810	48.3
8.958004	48.57
9.050361	48.6
9.150366	48.48
9.228977	48.39
9.321686	48.52
9.418264	48.34
9.497675	48.4
9.593727	48.35
9.673501	48.54
9.769848	48.42
9.849347	48.74
9.945610	48.27
10.041014	48.38
10.121139	48.62
10.217080	nan
11.219642	47.11
11.304028	47.01
11.383985	47.33
11.464015	47.16
11.559806	47.2
11.639847	47.26
11.735805	47.24
11.831841	47.33
11.911730	47.26
12.007579	47.19
12.087560	47.29
12.183449	47.19
12.279424	46.83
12.359471	47.21
12.455168	46.94
12.535191	47.01
12.615047	47.23
12.711034	47
12.807269	46.86
12.887116	46.69
12.982804	46.78
13.062840	46.63
13.158880	46.41
13.238707	46.57
13.334687	46.55
13.414907	46.43
13.510565	46.2
13.590374	46.07
13.670431	46.46
13.766417	46.28
13.862221	46.2
13.942055	46.57
14.038245	46.62
14.118015	46.53
14.214229	46.73
14.309821	46.62
14.389974	46.71
14.470188	46.61
14.565608	46.55
14.645645	46.33
14.741379	46.14
14.837597	45.9
14.917507	45.94
15.013486	45.78
15.093307	45.7
15.189186	46.06
15.285081	45.68
15.365022	45.52
15.460875	45.19
15.540975	45.66
15.636906	45.63
15.717174	45.76
15.797080	45.73
15.892743	45.9
15.972792	45.74
16.068566	45.39
16.164544	45.48
16.260319	45.59
16.340322	45.39
16.436343	45.67
16.516450	45.53
16.596243	45.27
16.692386	nan
17.694981	3.81
17.763333	3.81
17.859215	3.81
17.939419	3.81
18.035101	3.81
18.132809	3.96
18.228167	5.8
18.323335	4.76
18.405278	4.88
18.501948	4.73
18.578700	4.85
18.658609	4.88
18.754776	4.88
18.850519	4.95
18.930668	5.05
19.026528	5.06
19.106594	5.16
19.202349	5.21
19.298398	5.25
19.378496	5.32
19.474313	5.37
19.569930	5.43
19.650136	5.46
19.746083	5.52
19.841886	5.57
19.937649	5.6
20.033773	5.68
20.113620	5.71
20.209508	5.77
20.305514	5.84
20.401627	5.89
20.481337	5.91
20.577357	5.95
20.657955	6
20.753454	6.04
20.849155	6.07
20.946784	6.12
21.041186	6.15
21.137256	6.17
21.216955	6.2
21.315895	6.22
21.409180	6.26
21.504865	6.27
21.601018	6.29
21.696733	6.32
21.792679	6.32
21.888897	6.33
21.984315	6.35
22.080150	6.36
22.177126	6.38
22.273043	6.38
22.384243	6.39
22.480069	6.41
22.560863	6.42
22.655788	6.42
22.767707	6.45
22.863650	6.45
22.959642	6.46
23.055613	6.46
23.151580	6.46
23.247559	
