#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
0.000000	0.59
0.112071	0.59
0.207745	0.59
0.303684	0.59
0.383735	0.59
0.463736	0.59
0.543679	0.59
0.623555	0.59
0.703541	0.59
0.799639	0.59
0.895533	0.59
0.991508	0.59
1.087261	0.59
1.183460	0.59
1.279267	0.59
1.359169	0.59
1.455416	0.59
1.567642	0.59
1.631306	0.59
1.711108	0.59
1.791344	0.59
1.886926	0.59
1.967061	0.59
2.063167	0.59
2.159633	0.59
2.254984	0.59
2.352087	0.59
2.447905	0.59
2.544311	0.59
2.638798	0.59
2.734759	0.59
2.814833	0.59
2.878662	0.59
2.958642	0.59
3.054681	0.59
3.150510	0.59
3.246519	0.59
3.326528	0.59
3.422504	0.59
3.535674	0.59
3.614498	0.59
3.710545	0.59
3.806301	0.59
3.902239	0.59
3.966307	0.59
4.046189	0.59
4.126411	0.59
4.222216	0.59
4.318209	0.59
4.413874	0.59
4.510079	0.59
4.606999	0.59
4.686936	0.59
4.782706	0.59
4.877943	0.59
4.973829	0.59
5.069831	0.59
5.133918	0.59
5.213797	0.59
5.293823	0.59
5.389708	0.59
5.485760	0.59
5.581620	0.59
5.677580	0.59
5.773437	0.59
5.853554	0.59
5.949477	0.59
6.045530	0.59
6.141310	0.59
6.237354	0.59
6.318085	0.59
6.382103	0.59
6.462099	0.59
6.558060	0.59
6.654197	0.59
6.749868	0.59
6.846376	0.59
6.941849	0.59
7.037783	0.59
7.118022	0.59
7.213877	0.59
7.325508	0.59
7.389425	0.59
7.469492	0.59
7.549515	0.59
7.645740	0.59
7.741646	0.59
7.821773	0.59
7.917908	0.59
8.013806	0.59
8.110018	0.59
8.205988	0.59
8.301779	0.59
8.381672	0.59
8.477800	0.59
8.557695	0.59
8.637752	0.59
8.717365	0.59
8.813239	0.59
8.909696	0.59
9.005123	0.59
9.083994	0.59
9.180142	0.59
9.277390	0.59
9.373151	0.59
9.469396	0.59
9.565649	0.59
9.661108	0.59
9.725196	0.59
9.805084	0.59
9.884975	0.59
9.981023	0.59
10.076912	0.59
10.172771	0.59
10.268851	0.59
10.364919	0.59
10.444787	0.59
10.556613	0.59
10.651956	0.59
10.732685	0.59
10.828830	0.59
10.908976	0.59
10.988252	0.59
11.068459	0.59
11.148770	0.59
11.244550	0.59
11.340303	0.59
11.436252	0.59
11.531637	0.59
11.627688	0.59
11.723188	0.59
11.803482	0.59
11.898986	0.59
11.994864	0.59
12.074938	0.59
12.154989	0.59
12.235159	0.59
12.331056	0.59
12.426923	0.59
12.506879	0.59
12.618845	0.59
12.698840	0.59
12.794823	0.59
12.890813	0.59
12.986458	0.59
13.082534	0.59
13.178585	0.59
13.242359	0.59
13.322586	0.59
13.402701	0.59
13.498411	0.59
13.594830	0.59
13.690524	0.59
13.786217	0.59
13.866330	0.59
13.962209	0.59
14.058921	0.59
14.155383	0.59
14.250032	0.59
14.346690	0.59
14.410625	0.59
14.490589	0.59
14.585927	0.59
14.681678	0.59
14.761829	0.59
14.858438	0.59
14.954085	0.59
15.049968	0.59
15.145416	0.59
15.241467	0.59
15.321389	2.42
15.417335	3.27
15.497371	3.3
15.593229	3.08
15.673239	3.2
15.770250	3.81
15.849040	4.08
15.944934	4.23
16.025091	4.19
16.120711	3.79
16.200746	3.59
16.296740	3.53
16.377021	3.32
16.472806	3.28
16.568586	3.37
16.664267	3.58
16.744223	3.38
16.824319	3.14
16.921308	3.23
17.000172	3.07
17.096180	3.01
17.176285	2.93
17.272615	3.03
17.367939	2.99
17.463715	2.98
17.561051	3.05
17.655812	3.14
17.735548	3.2
17.815550	3.45
17.913290	3.92
17.993172	4.62
18.087635	4.98
18.183615	5.09
18.263998	5.15
18.359165	4.86
18.439114	4.89
18.535086	4.72
18.615455	4.77
18.711014	4.82
18.791137	4.83
18.887167	4.75
18.982934	4.74
19.062772	4.53
19.158834	4.12
19.254662	4.19
19.334608	4.11
19.414617	4.34
19.510568	4.72
19.606428	5.02
19.703317	4.7
19.782537	4.67
19.878565	4.65
19.958144	4.73
20.054250	4.75
20.150103	4.84
20.230331	4.93
20.326272	5.03
20.421838	5.13
20.501913	5.22
20.597913	5.29
