#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
32.942948	5.68
33.038846	5.74
33.118891	5.73
33.214962	5.73
33.310544	5.71
33.406711	5.7
33.502890	5.67
33.598788	5.67
33.694583	5.65
33.791702	5.64
33.870298	5.64
33.966449	5.62
34.062277	5.61
34.159189	5.6
34.254315	5.58
34.350074	5.58
34.430082	5.57
34.526165	5.57
34.622052	5.55
34.718001	5.54
34.814045	5.54
34.910492	5.53
35.005900	5.51
35.101823	5.51
35.197799	5.5
35.293926	5.5
35.389608	5.49
35.485504	5.49
35.581845	5.47
35.661671	5.46
35.757298	5.46
35.853432	5.46
35.949401	5.45
36.045383	5.45
36.141303	5.45
36.237254	5.45
36.333304	5.44
36.429254	5.44
36.525131	5.44
36.621211	5.43
36.716895	5.43
36.813233	5.43
36.908823	5.43
37.004704	5.43
37.100753	5.42
37.196632	5.42
37.292658	5.42
37.372682	5.41
37.468571	5.41
37.564475	5.41
37.661037	5.41
37.756403	5.41
37.852430	5.41
37.948687	5.4
38.044490	5.4
38.140517	5.4
38.236147	5.4
38.332530	5.4
38.427997	5.4
38.524604	5.4
38.619887	5.4
38.715913	5.4
38.811958	5.4
38.907785	5.4
39.004972	5.4
39.099746	5.39
39.179646	5.39
39.275572	5.39
39.371522	5.39
39.468191	5.39
39.564073	5.39
39.659270	5.39
39.755625	5.39
39.851218	5.39
39.947227	5.39
40.043697	5.39
40.139030	5.39
40.237254	5.39
40.330997	5.38
40.426840	5.38
40.522872	5.38
40.619243	5.38
40.730824	5.38
40.794746	5.38
40.875112	5.38
40.954819	5.38
41.051458	5.38
41.147406	5.37
41.243244	5.37
41.339660	5.37
41.435202	5.37
41.530495	5.37
41.610240	5.37
41.706468	5.37
41.818350	5.37
41.914282	5.36
42.010194	5.36
42.090242	5.36
42.186198	5.36
42.283169	5.36
42.378922	5.36
42.474660	5.36
42.571081	5.35
42.650776	5.35
42.762730	
